team,matches_played,wins,win_percentage
Mumbai Indians,291,155,53.264604810996566
Kolkata Knight Riders,278,140,50.35971223021583
Chennai Super Kings,266,148,55.639097744360896
Rajasthan Royals,251,123,49.00398406374502
Royal Challengers Bangalore,240,114,47.5
Sunrisers Hyderabad,211,102,48.34123222748815
Kings XI Punjab,190,85,44.73684210526316
Delhi Daredevils,161,67,41.61490683229814
Delhi Capitals,120,58,48.333333333333336
Punjab Kings,88,41,46.590909090909086
Gujarat Titans,77,47,61.038961038961034
Deccan Chargers,75,29,38.666666666666664
Lucknow Super Giants,72,34,47.22222222222222
Royal Challengers Bengaluru,46,29,63.04347826086957
Pune Warriors,46,12,26.08695652173913
Gujarat Lions,30,13,43.333333333333336
Rising Pune Supergiant,16,10,62.5
Kochi Tuskers Kerala,14,6,42.857142857142854
Rising Pune Supergiants,14,5,35.714285714285715
